episode,return,length,risk_threshold
595,-140.72992370299477,21,-141.14600588580794
596,-141.00646167549974,21,-141.14600588580794
597,-140.66172614959186,21,-141.14600588580794
598,-140.5949817097327,21,-141.14600588580794
599,-140.79854405298,21,-141.14600588580794
600,-141.00305425635497,21,-141.14600588580794
601,-140.9460139533228,21,-141.14600588580794
602,-140.3885805761706,21,-141.14600588580794
603,-140.38611313813672,21,-141.14600588580794
604,-140.45518936642856,21,-141.14600588580794
605,-141.22828690667149,21,-141.1511613292863
606,-140.7994402031981,21,-141.1511613292863
607,-141.09983443058124,21,-141.1511613292863
608,-140.95505644889485,21,-141.1511613292863
609,-141.00550904267166,21,-141.1511613292863
610,-141.01642378466818,21,-141.1511613292863
611,-141.22048368423742,21,-141.1516637134844
612,-140.45741980186926,21,-141.1511613292863
613,-140.66226851283852,21,-141.1511613292863
614,-141.0854700367984,21,-141.1511613292863
615,-141.24892917289432,21,-141.1516637134844
616,-141.01572350394375,21,-141.1516637134844
617,-140.32556240514276,21,-141.1516637134844
618,-140.74080215931377,21,-141.1516637134844
619,-141.07705269751622,21,-141.1511613292863
620,-140.94889791681527,21,-141.14600588580794
621,-141.29094432096252,21,-141.1511613292863
622,-141.17903662696426,21,-141.1516637134844
623,-140.53470211791216,21,-141.1516637134844
624,-140.60600583627075,21,-141.1516637134844
625,-140.70529805993584,21,-141.1516637134844
626,-140.6015915696618,21,-141.1516637134844
627,-140.71415593884905,21,-141.1516637134844
628,-141.01596043211003,21,-141.1516637134844
629,-140.67242979651195,21,-141.1516637134844
630,-140.80965670909114,21,-141.1516637134844
631,-140.6721519193526,21,-141.1516637134844
632,-141.01562963989448,21,-141.1516637134844
633,-140.46499206415467,21,-141.1516637134844
