episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
588,252702,414.74,609.30,304.60,252.42,0.7316
589,253056,415.41,609.17,287.47,256.02,0.9273
590,253453,416.15,609.05,252.58,256.98,1.0342
591,253866,416.83,609.04,276.81,258.16,1.0038
592,254307,417.58,609.01,209.13,254.60,0.9361
593,254603,418.08,608.98,285.38,256.14,0.9058
594,254846,418.48,608.97,310.77,258.28,0.9933
595,255206,419.05,609.00,273.14,260.87,0.9621
596,255559,419.63,609.01,255.54,260.22,0.9688
597,255964,420.28,609.04,284.80,261.68,0.8359
598,256274,420.80,609.02,246.85,261.12,0.9038
599,256592,421.31,609.04,266.71,262.01,0.8599
600,257005,421.98,609.05,226.05,261.97,0.9770
601,257338,422.58,608.97,231.73,263.28,0.9063
602,257661,423.10,608.98,260.79,263.39,0.8908
603,258101,423.83,608.97,275.08,263.54,0.8925
604,258363,424.26,608.98,246.42,263.52,0.7487
605,258659,424.74,608.98,256.18,262.34,0.9674
606,258998,425.29,609.00,278.06,264.50,0.8739
607,259287,425.76,609.00,235.62,263.19,0.8638
608,259513,426.14,608.99,268.59,261.38,0.8978
609,259846,426.67,609.00,284.20,261.22,0.8680
610,260070,427.05,609.00,244.57,260.82,1.0007
611,260337,427.48,609.00,265.50,260.26,0.8808
612,260656,427.97,609.05,304.91,265.04,0.8036
613,260979,428.49,609.07,240.83,262.82,0.8803
614,261370,429.12,609.08,288.74,261.72,0.9842
615,261742,429.74,609.07,235.58,259.84,0.6812
616,262133,430.36,609.11,244.87,259.30,0.8237
617,262397,430.80,609.09,259.59,258.04,0.8269
618,262792,431.45,609.08,228.18,257.11,1.0113
619,263467,432.55,609.10,242.67,255.91,0.7566
620,263794,433.07,609.12,268.61,258.03,0.8433
621,264167,433.69,609.12,251.50,259.02,0.8025
622,264685,434.54,609.12,270.57,259.51,0.8563
623,265398,435.77,609.03,237.02,257.61,0.9008
624,265853,436.53,609.01,247.87,257.68,0.8343
625,266182,437.08,609.01,252.53,257.50,0.7814
626,266458,437.51,609.03,257.71,256.48,0.6793
627,266785,438.07,609.00,287.21,259.06,0.8310
628,267146,438.66,609.01,252.38,258.25,0.7986
629,267504,439.23,609.04,251.30,256.61,0.7394
630,267798,439.71,609.04,255.24,257.14,0.8186
631,268056,440.11,609.07,261.55,256.94,0.8103
632,268333,440.56,609.07,230.67,253.23,0.9924
